geo,edad,Año,valor
Estonia,Y20-64,2005,7.9
Greece,Y20-64,2005,9.8
Spain,Y20-64,2005,8.7
European Union - 27 countries (from 2020),Y20-64,2005,9.3
European Union - 28 countries (2013-2020),Y20-64,2005,8.7
Finland,Y20-64,2005,7.7
France,Y20-64,2005,8.1
Croatia,Y20-64,2005,12.2
Hungary,Y20-64,2005,7
Ireland,Y20-64,2005,4.1
Iceland,Y20-64,2005,2.1
Italy,Y20-64,2005,7.4
Lithuania,Y20-64,2005,8.3
Luxembourg,Y20-64,2005,4.3
Latvia,Y20-64,2005,9.7
Malta,Y20-64,2005,5.6
Netherlands,Y20-64,2005,5.4
Norway,Y20-64,2005,3.8
Poland,Y20-64,2005,17.7
Portugal,Y20-64,2005,7.8
Romania,Y20-64,2005,7
Sweden,Y20-64,2005,6.8
Slovenia,Y20-64,2005,6.5
Slovakia,Y20-64,2005,15.7
United Kingdom,Y20-64,2005,4
Austria,Y25-29,2005,6.5
Belgium,Y25-29,2005,10.4
Bulgaria,Y25-29,2005,11
Switzerland,Y25-29,2005,5.2
Cyprus,Y25-29,2005,6.9
Czechia,Y25-29,2005,8.5
Germany (until 1990 former territory of the FRG),Y25-29,2005,12.5
Denmark,Y25-29,2005,5.5
Euro area - 19 countries  (from 2015),Y25-29,2005,11.2
Estonia,Y25-29,2005,8
Greece,Y25-29,2005,15.1
Spain,Y25-29,2005,11
European Union - 27 countries (from 2020),Y25-29,2005,11.8
European Union - 28 countries (2013-2020),Y25-29,2005,11
Finland,Y25-29,2005,8.6
France,Y25-29,2005,10.6
Croatia,Y25-29,2005,15.7
Hungary,Y25-29,2005,8.1
Ireland,Y25-29,2005,4.5
Iceland,Y25-29,2005,
Italy,Y25-29,2005,13.1
Lithuania,Y25-29,2005,6.4
Luxembourg,Y25-29,2005,4.7
Latvia,Y25-29,2005,9.8
Malta,Y25-29,2005,5.1
Netherlands,Y25-29,2005,5.3
Norway,Y25-29,2005,5.5
Poland,Y25-29,2005,20.2
Portugal,Y25-29,2005,11
Romania,Y25-29,2005,8.7
Sweden,Y25-29,2005,10.6
Slovenia,Y25-29,2005,9.3
Slovakia,Y25-29,2005,16.3
United Kingdom,Y25-29,2005,5
Austria,Y25-54,2005,4.8
Belgium,Y25-54,2005,7.4
Bulgaria,Y25-54,2005,9
Switzerland,Y25-54,2005,3.8
Cyprus,Y25-54,2005,4.5
Czechia,Y25-54,2005,7.1
Germany (until 1990 former territory of the FRG),Y25-54,2005,10.4
Denmark,Y25-54,2005,4.1
Euro area - 19 countries  (from 2015),Y25-54,2005,8.1
Estonia,Y25-54,2005,7.7
Greece,Y25-54,2005,9.2
Spain,Y25-54,2005,8
European Union - 27 countries (from 2020),Y25-54,2005,8.5
European Union - 28 countries (2013-2020),Y25-54,2005,7.9
Finland,Y25-54,2005,6.8
France,Y25-54,2005,7.5
Croatia,Y25-54,2005,10.9
Hungary,Y25-54,2005,6.4
Ireland,Y25-54,2005,3.7
Iceland,Y25-54,2005,1.7
Italy,Y25-54,2005,6.7
Lithuania,Y25-54,2005,7.9
Luxembourg,Y25-54,2005,3.9
Latvia,Y25-54,2005,9.5
Malta,Y25-54,2005,5
Netherlands,Y25-54,2005,4.8
Norway,Y25-54,2005,3.7
Poland,Y25-54,2005,15.7
Portugal,Y25-54,2005,7.2
Romania,Y25-54,2005,6.4
Sweden,Y25-54,2005,6.3
Slovenia,Y25-54,2005,5.6
Slovakia,Y25-54,2005,14.5
United Kingdom,Y25-54,2005,3.4
Austria,Y55-64,2005,4
Belgium,Y55-64,2005,4.4
Bulgaria,Y55-64,2005,8.6
Switzerland,Y55-64,2005,3.7
Cyprus,Y55-64,2005,3.5
Czechia,Y55-64,2005,5.2
Germany (until 1990 former territory of the FRG),Y55-64,2005,12.7
Denmark,Y55-64,2005,5.2
Euro area - 19 countries  (from 2015),Y55-64,2005,7.4
Estonia,Y55-64,2005,5.4
Greece,Y55-64,2005,3.8
Spain,Y55-64,2005,6.3
European Union - 27 countries (from 2020),Y55-64,2005,7.1
European Union - 28 countries (2013-2020),Y55-64,2005,6.4
Finland,Y55-64,2005,6.9
France,Y55-64,2005,4.6
Croatia,Y55-64,2005,7.2
Hungary,Y55-64,2005,3.9
Ireland,Y55-64,2005,2.8
Iceland,Y55-64,2005,
Italy,Y55-64,2005,3.5
Lithuania,Y55-64,2005,6.9
Luxembourg,Y55-64,2005,
Latvia,Y55-64,2005,8.9
Malta,Y55-64,2005,3.4
Netherlands,Y55-64,2005,4.8
Norway,Y55-64,2005,1.5
Poland,Y55-64,2005,10.8
Portugal,Y55-64,2005,6.1
Romania,Y55-64,2005,2.4
Sweden,Y55-64,2005,4.5
Slovenia,Y55-64,2005,4.2
Slovakia,Y55-64,2005,13.4
United Kingdom,Y55-64,2005,2.7
Austria,Y15-24,2006,9.8
Belgium,Y15-24,2006,20.5
Bulgaria,Y15-24,2006,19.5
Switzerland,Y15-24,2006,7.7
Cyprus,Y15-24,2006,10
Czechia,Y15-24,2006,17.5
Germany (until 1990 former territory of the FRG),Y15-24,2006,13.8
Denmark,Y15-24,2006,7.7
Euro area - 19 countries  (from 2015),Y15-24,2006,16.9
Estonia,Y15-24,2006,12.1
Greece,Y15-24,2006,25
Spain,Y15-24,2006,17.9
European Union - 27 countries (from 2020),Y15-24,2006,18.4
European Union - 28 countries (2013-2020),Y15-24,2006,17.6
Finland,Y15-24,2006,18.7
France,Y15-24,2006,21.3
Croatia,Y15-24,2006,28.9
Hungary,Y15-24,2006,19.1
Ireland,Y15-24,2006,8.6
Iceland,Y15-24,2006,8.3
Italy,Y15-24,2006,21.8
Lithuania,Y15-24,2006,10
Luxembourg,Y15-24,2006,16.2
Latvia,Y15-24,2006,13.6
North Macedonia,Y15-24,2006,59.7
Malta,Y15-24,2006,15.5
Netherlands,Y15-24,2006,10
Norway,Y15-24,2006,8.7
Poland,Y15-24,2006,29.8
Portugal,Y15-24,2006,16.5
Romania,Y15-24,2006,21.4
Sweden,Y15-24,2006,21.5
Slovenia,Y15-24,2006,13.9
Slovakia,Y15-24,2006,26.6
Turkey,Y15-24,2006,16.4
United Kingdom,Y15-24,2006,13.9
Austria,Y15-74,2006,5.3
Belgium,Y15-74,2006,8.3
Bulgaria,Y15-74,2006,9
Switzerland,Y15-74,2006,4
Cyprus,Y15-74,2006,4.6
Czechia,Y15-74,2006,7.2
Germany (until 1990 former territory of the FRG),Y15-74,2006,10.3
Denmark,Y15-74,2006,3.9
Euro area - 19 countries  (from 2015),Y15-74,2006,8.3
Estonia,Y15-74,2006,5.9
Greece,Y15-74,2006,9
Spain,Y15-74,2006,8.5
European Union - 27 countries (from 2020),Y15-74,2006,8.6
European Union - 28 countries (2013-2020),Y15-74,2006,8.2
Finland,Y15-74,2006,7.7
France,Y15-74,2006,8.5
Croatia,Y15-74,2006,11.2
Hungary,Y15-74,2006,7.5
Ireland,Y15-74,2006,4.4
Iceland,Y15-74,2006,2.8
Italy,Y15-74,2006,6.8
Lithuania,Y15-74,2006,5.8
Luxembourg,Y15-74,2006,4.7
Latvia,Y15-74,2006,7
North Macedonia,Y15-74,2006,36.1
Malta,Y15-74,2006,6.8
Netherlands,Y15-74,2006,5
Norway,Y15-74,2006,3.4
Poland,Y15-74,2006,13.9
Portugal,Y15-74,2006,7.8
Romania,Y15-74,2006,7.3
Sweden,Y15-74,2006,7.1
Slovenia,Y15-74,2006,6
Slovakia,Y15-74,2006,13.4
Turkey,Y15-74,2006,8.8
United Kingdom,Y15-74,2006,5.4
Austria,Y20-64,2006,4.9
Belgium,Y20-64,2006,8
Bulgaria,Y20-64,2006,8.6
Switzerland,Y20-64,2006,3.8
Cyprus,Y20-64,2006,4.5
Czechia,Y20-64,2006,6.9
Germany (until 1990 former territory of the FRG),Y20-64,2006,10.2
Denmark,Y20-64,2006,3.5
Euro area - 19 countries  (from 2015),Y20-64,2006,8.1
Estonia,Y20-64,2006,5.7
Greece,Y20-64,2006,8.9
Spain,Y20-64,2006,8
European Union - 27 countries (from 2020),Y20-64,2006,8.4
European Union - 28 countries (2013-2020),Y20-64,2006,7.9
Finland,Y20-64,2006,7
France,Y20-64,2006,8
Croatia,Y20-64,2006,10.8
Hungary,Y20-64,2006,7.3
Ireland,Y20-64,2006,4.1
Iceland,Y20-64,2006,2
Italy,Y20-64,2006,6.5
Lithuania,Y20-64,2006,5.7
Luxembourg,Y20-64,2006,4.4
Latvia,Y20-64,2006,6.7
North Macedonia,Y20-64,2006,35.4
Malta,Y20-64,2006,5.6
Netherlands,Y20-64,2006,4.5
Norway,Y20-64,2006,3
Poland,Y20-64,2006,13.8
Portugal,Y20-64,2006,7.8
Romania,Y20-64,2006,7
Sweden,Y20-64,2006,6.1
Slovenia,Y20-64,2006,5.9
Slovakia,Y20-64,2006,12.8
Turkey,Y20-64,2006,8.4
United Kingdom,Y20-64,2006,4.5
Austria,Y25-29,2006,6.2
Belgium,Y25-29,2006,10.1
Bulgaria,Y25-29,2006,10.3
Switzerland,Y25-29,2006,4.7
Cyprus,Y25-29,2006,5.9
Czechia,Y25-29,2006,6.6
Germany (until 1990 former territory of the FRG),Y25-29,2006,11.5
Denmark,Y25-29,2006,5.1
Euro area - 19 countries  (from 2015),Y25-29,2006,10.2
Estonia,Y25-29,2006,4.6
Greece,Y25-29,2006,14
Spain,Y25-29,2006,10.1
European Union - 27 countries (from 2020),Y25-29,2006,10.5
European Union - 28 countries (2013-2020),Y25-29,2006,9.9
Finland,Y25-29,2006,7.7
France,Y25-29,2006,10
Croatia,Y25-29,2006,13.8
Hungary,Y25-29,2006,8.6
Ireland,Y25-29,2006,4.9
Iceland,Y25-29,2006,3
Italy,Y25-29,2006,11.6
Lithuania,Y25-29,2006,4.9
Luxembourg,Y25-29,2006,6.7
Latvia,Y25-29,2006,7.2
North Macedonia,Y25-29,2006,44.8
Malta,Y25-29,2006,6.1
Netherlands,Y25-29,2006,3.9
Norway,Y25-29,2006,4.4
Poland,Y25-29,2006,15.3
Portugal,Y25-29,2006,11.2
Romania,Y25-29,2006,9.4
Sweden,Y25-29,2006,8.7
Slovenia,Y25-29,2006,10.4
Slovakia,Y25-29,2006,12.4
Turkey,Y25-29,2006,11.1
United Kingdom,Y25-29,2006,5.5
Austria,Y25-54,2006,4.6
Belgium,Y25-54,2006,7.2
Bulgaria,Y25-54,2006,8
Switzerland,Y25-54,2006,3.5
Cyprus,Y25-54,2006,4.1
Czechia,Y25-54,2006,6.4
Germany (until 1990 former territory of the FRG),Y25-54,2006,9.5
Denmark,Y25-54,2006,3.2
Euro area - 19 countries  (from 2015),Y25-54,2006,7.4
Estonia,Y25-54,2006,5.6
Greece,Y25-54,2006,8.2
Spain,Y25-54,2006,7.5
European Union - 27 countries (from 2020),Y25-54,2006,7.7
European Union - 28 countries (2013-2020),Y25-54,2006,7.2
Finland,Y25-54,2006,6.1
France,Y25-54,2006,7.2
Croatia,Y25-54,2006,9.9
Hungary,Y25-54,2006,6.8
Ireland,Y25-54,2006,3.8
Iceland,Y25-54,2006,1.8
Italy,Y25-54,2006,5.9
Lithuania,Y25-54,2006,5.4
Luxembourg,Y25-54,2006,4.1
Latvia,Y25-54,2006,6.2
North Macedonia,Y25-54,2006,33.3
Malta,Y25-54,2006,5.1
Netherlands,Y25-54,2006,4
Norway,Y25-54,2006,2.9
Poland,Y25-54,2006,12.2
Portugal,Y25-54,2006,7.3
Romania,Y25-54,2006,6.4
Sweden,Y25-54,2006,5.3
Slovenia,Y25-54,2006,5.4
Slovakia,Y25-54,2006,11.9
Turkey,Y25-54,2006,7.4
United Kingdom,Y25-54,2006,4
Austria,Y55-64,2006,4
Belgium,Y55-64,2006,4.8
Bulgaria,Y55-64,2006,7.9
Switzerland,Y55-64,2006,3.1
Cyprus,Y55-64,2006,3.3
Czechia,Y55-64,2006,5.3
Germany (until 1990 former territory of the FRG),Y55-64,2006,12.4
Denmark,Y55-64,2006,3.9
Euro area - 19 countries  (from 2015),Y55-64,2006,7.1
Estonia,Y55-64,2006,4.1
Greece,Y55-64,2006,3.7
Spain,Y55-64,2006,5.8
European Union - 27 countries (from 2020),Y55-64,2006,6.7
European Union - 28 countries (2013-2020),Y55-64,2006,6.1
Finland,Y55-64,2006,6.8
France,Y55-64,2006,5
Croatia,Y55-64,2006,6
Hungary,Y55-64,2006,4
Ireland,Y55-64,2006,2.4
Iceland,Y55-64,2006,
Italy,Y55-64,2006,2.9
Lithuania,Y55-64,2006,6.1
Luxembourg,Y55-64,2006,
Latvia,Y55-64,2006,6.7
North Macedonia,Y55-64,2006,28.4
Malta,Y55-64,2006,
Netherlands,Y55-64,2006,4.8
Norway,Y55-64,2006,1.1
Poland,Y55-64,2006,8.5
Portugal,Y55-64,2006,6.3
Romania,Y55-64,2006,2.6
Sweden,Y55-64,2006,4.4
Slovenia,Y55-64,2006,2.5
Slovakia,Y55-64,2006,9.8
Turkey,Y55-64,2006,3.6
United Kingdom,Y55-64,2006,3
Austria,Y15-24,2007,9.4
Belgium,Y15-24,2007,18.8
Bulgaria,Y15-24,2007,15.1
Switzerland,Y15-24,2007,7.1
Cyprus,Y15-24,2007,10.2
Czechia,Y15-24,2007,10.7
Germany (until 1990 former territory of the FRG),Y15-24,2007,11.9
Denmark,Y15-24,2007,7.5
Euro area - 19 countries  (from 2015),Y15-24,2007,15.3
Estonia,Y15-24,2007,10.1
Greece,Y15-24,2007,22.7
Spain,Y15-24,2007,18.1
European Union - 27 countries (from 2020),Y15-24,2007,16
European Union - 28 countries (2013-2020),Y15-24,2007,15.7
Finland,Y15-24,2007,16.5
France,Y15-24,2007,18.8
Croatia,Y15-24,2007,25.2
Hungary,Y15-24,2007,18
Ireland,Y15-24,2007,9.2
Iceland,Y15-24,2007,7
Italy,Y15-24,2007,20.4
Lithuania,Y15-24,2007,8.4
Luxembourg,Y15-24,2007,15.2
Latvia,Y15-24,2007,10.6
North Macedonia,Y15-24,2007,57.7
Malta,Y15-24,2007,13.5
Netherlands,Y15-24,2007,9.4
Norway,Y15-24,2007,7.4
Poland,Y15-24,2007,21.7
Portugal,Y15-24,2007,16.7
Romania,Y15-24,2007,20.1
Sweden,Y15-24,2007,19.3
Slovenia,Y15-24,2007,10.1
Slovakia,Y15-24,2007,20.3
Turkey,Y15-24,2007,17.2
United Kingdom,Y15-24,2007,14.3
Austria,Y15-74,2007,4.9
Belgium,Y15-74,2007,7.5
Bulgaria,Y15-74,2007,6.9
Switzerland,Y15-74,2007,3.7
Cyprus,Y15-74,2007,3.9
Czechia,Y15-74,2007,5.3
Germany (until 1990 former territory of the FRG),Y15-74,2007,8.7
Denmark,Y15-74,2007,3.8
Euro area - 19 countries  (from 2015),Y15-74,2007,7.5
Estonia,Y15-74,2007,4.6
Greece,Y15-74,2007,8.4
Spain,Y15-74,2007,8.2
European Union - 27 countries (from 2020),Y15-74,2007,7.5
European Union - 28 countries (2013-2020),Y15-74,2007,7.2
Finland,Y15-74,2007,6.9
France,Y15-74,2007,7.7
Croatia,Y15-74,2007,9.9
Hungary,Y15-74,2007,7.4
Ireland,Y15-74,2007,5
Iceland,Y15-74,2007,2.3
Italy,Y15-74,2007,6.1
Lithuania,Y15-74,2007,4.3
Luxembourg,Y15-74,2007,4.1
Latvia,Y15-74,2007,6.1
North Macedonia,Y15-74,2007,35
Malta,Y15-74,2007,6.5
Netherlands,Y15-74,2007,4.2
Norway,Y15-74,2007,2.5
Poland,Y15-74,2007,9.6
Portugal,Y15-74,2007,8.1
Romania,Y15-74,2007,6.4
Sweden,Y15-74,2007,6.2
Slovenia,Y15-74,2007,4.9
Slovakia,Y15-74,2007,11.1
Turkey,Y15-74,2007,8.9
United Kingdom,Y15-74,2007,5.3
Austria,Y20-64,2007,4.5
Belgium,Y20-64,2007,7.2
Bulgaria,Y20-64,2007,6.6
Switzerland,Y20-64,2007,3.5
Cyprus,Y20-64,2007,3.9
Czechia,Y20-64,2007,5.2
Germany (until 1990 former territory of the FRG),Y20-64,2007,8.6
Denmark,Y20-64,2007,3.4
Euro area - 19 countries  (from 2015),Y20-64,2007,7.2
Estonia,Y20-64,2007,4.4
Greece,Y20-64,2007,8.3
Spain,Y20-64,2007,7.8
European Union - 27 countries (from 2020),Y20-64,2007,7.2
European Union - 28 countries (2013-2020),Y20-64,2007,6.8
Finland,Y20-64,2007,6.1
France,Y20-64,2007,7.3
Croatia,Y20-64,2007,9.4
Hungary,Y20-64,2007,7.3
Ireland,Y20-64,2007,4.5
Iceland,Y20-64,2007,1.6
Italy,Y20-64,2007,5.8
Lithuania,Y20-64,2007,4.2
Luxembourg,Y20-64,2007,3.8
Latvia,Y20-64,2007,5.8
North Macedonia,Y20-64,2007,34.3
Malta,Y20-64,2007,5.4
Netherlands,Y20-64,2007,3.6
Norway,Y20-64,2007,2.1
Poland,Y20-64,2007,9.6
Portugal,Y20-64,2007,8.2
Romania,Y20-64,2007,6.3
Sweden,Y20-64,2007,5.1
Slovenia,Y20-64,2007,4.8
Slovakia,Y20-64,2007,10.7
Turkey,Y20-64,2007,8.5
United Kingdom,Y20-64,2007,4.4
Austria,Y25-29,2007,5.9
Belgium,Y25-29,2007,10
Bulgaria,Y25-29,2007,7.5
Switzerland,Y25-29,2007,4.7
Cyprus,Y25-29,2007,4.6
Czechia,Y25-29,2007,5.2
Germany (until 1990 former territory of the FRG),Y25-29,2007,9.9
Denmark,Y25-29,2007,4.6
Euro area - 19 countries  (from 2015),Y25-29,2007,9.4
Estonia,Y25-29,2007,4.4
Greece,Y25-29,2007,14.2
Spain,Y25-29,2007,9
European Union - 27 countries (from 2020),Y25-29,2007,9.2
European Union - 28 countries (2013-2020),Y25-29,2007,8.7
Finland,Y25-29,2007,7
France,Y25-29,2007,10.1
Croatia,Y25-29,2007,13.2
Hungary,Y25-29,2007,8.5
Ireland,Y25-29,2007,5.3
Iceland,Y25-29,2007,
Italy,Y25-29,2007,10.4
Lithuania,Y25-29,2007,4.6
Luxembourg,Y25-29,2007,5.5
Latvia,Y25-29,2007,6.5
North Macedonia,Y25-29,2007,42.5
Malta,Y25-29,2007,5.3
Netherlands,Y25-29,2007,2.9
Norway,Y25-29,2007,3
Poland,Y25-29,2007,10.6
Portugal,Y25-29,2007,11.7
Romania,Y25-29,2007,7.6
Sweden,Y25-29,2007,7
Slovenia,Y25-29,2007,8.1
Slovakia,Y25-29,2007,11.5
Turkey,Y25-29,2007,10.9
United Kingdom,Y25-29,2007,4.9
Austria,Y25-54,2007,4.2
Belgium,Y25-54,2007,6.6
Bulgaria,Y25-54,2007,6.1
Switzerland,Y25-54,2007,3.2
Cyprus,Y25-54,2007,3.4
Czechia,Y25-54,2007,4.9
Germany (until 1990 former territory of the FRG),Y25-54,2007,8
Denmark,Y25-54,2007,3.1
Euro area - 19 countries  (from 2015),Y25-54,2007,6.6
Estonia,Y25-54,2007,4.2
Greece,Y25-54,2007,7.8
Spain,Y25-54,2007,7.2
European Union - 27 countries (from 2020),Y25-54,2007,6.6
European Union - 28 countries (2013-2020),Y25-54,2007,6.3
Finland,Y25-54,2007,5.3
France,Y25-54,2007,6.6
Croatia,Y25-54,2007,8.7
Hungary,Y25-54,2007,6.9
Ireland,Y25-54,2007,4.3
Iceland,Y25-54,2007,1.3
Italy,Y25-54,2007,5.3
Lithuania,Y25-54,2007,4
Luxembourg,Y25-54,2007,3.4
Latvia,Y25-54,2007,5.7
North Macedonia,Y25-54,2007,32.3
Malta,Y25-54,2007,5.1
Netherlands,Y25-54,2007,3
Norway,Y25-54,2007,1.9
Poland,Y25-54,2007,8.4
Portugal,Y25-54,2007,7.8
Romania,Y25-54,2007,5.6
Sweden,Y25-54,2007,4.4
Slovenia,Y25-54,2007,4.5
Slovakia,Y25-54,2007,10.2
Turkey,Y25-54,2007,7.4
United Kingdom,Y25-54,2007,3.8
Austria,Y55-64,2007,3.4
Belgium,Y55-64,2007,4.2
Bulgaria,Y55-64,2007,6.8
Switzerland,Y55-64,2007,3.1
Cyprus,Y55-64,2007,3.1
Czechia,Y55-64,2007,4.6
Germany (until 1990 former territory of the FRG),Y55-64,2007,10.3
Denmark,Y55-64,2007,3.4
Euro area - 19 countries  (from 2015),Y55-64,2007,6.3
Estonia,Y55-64,2007,3.6
Greece,Y55-64,2007,3.4
Spain,Y55-64,2007,6
European Union - 27 countries (from 2020),Y55-64,2007,5.9
European Union - 28 countries (2013-2020),Y55-64,2007,5.5
Finland,Y55-64,2007,6.3
France,Y55-64,2007,4.4
Croatia,Y55-64,2007,6.1
Hungary,Y55-64,2007,4.4
Ireland,Y55-64,2007,2.5
Iceland,Y55-64,2007,
Italy,Y55-64,2007,2.4
Lithuania,Y55-64,2007,3.7
Luxembourg,Y55-64,2007,
Latvia,Y55-64,2007,4.5
North Macedonia,Y55-64,2007,28
Malta,Y55-64,2007,3.5
Netherlands,Y55-64,2007,4.3
Norway,Y55-64,2007,0.9
Poland,Y55-64,2007,6.8
Portugal,Y55-64,2007,6.5
Romania,Y55-64,2007,2.3
Sweden,Y55-64,2007,4
Slovenia,Y55-64,2007,3.3
Slovakia,Y55-64,2007,8.2
Turkey,Y55-64,2007,3.5
United Kingdom,Y55-64,2007,3.2
Austria,Y15-24,2008,8.5
Belgium,Y15-24,2008,18
Bulgaria,Y15-24,2008,12.7
Switzerland,Y15-24,2008,7
Cyprus,Y15-24,2008,9
Czechia,Y15-24,2008,9.9
Germany (until 1990 former territory of the FRG),Y15-24,2008,10.6
Denmark,Y15-24,2008,9.5
Euro area - 19 countries  (from 2015),Y15-24,2008,15.8
Estonia,Y15-24,2008,12
Greece,Y15-24,2008,21.9
Spain,Y15-24,2008,24.5
European Union - 27 countries (from 2020),Y15-24,2008,16
European Union - 28 countries (2013-2020),Y15-24,2008,15.8
Finland,Y15-24,2008,16.5
France,Y15-24,2008,18.3
Croatia,Y15-24,2008,23.7
Hungary,Y15-24,2008,19.5
Ireland,Y15-24,2008,13.5
Iceland,Y15-24,2008,8.2
Italy,Y15-24,2008,21.2
Lithuania,Y15-24,2008,13.3
Luxembourg,Y15-24,2008,17.9
Latvia,Y15-24,2008,13.6
North Macedonia,Y15-24,2008,56.4
Malta,Y15-24,2008,11.7
Netherlands,Y15-24,2008,8.6
Norway,Y15-24,2008,7.5
Poland,Y15-24,2008,17.3
Portugal,Y15-24,2008,16.7
Romania,Y15-24,2008,18.6
Sweden,Y15-24,2008,20.2
Slovenia,Y15-24,2008,10.4
Slovakia,Y15-24,2008,19
Turkey,Y15-24,2008,18.5
United Kingdom,Y15-24,2008,15
Austria,Y15-74,2008,4.1
Belgium,Y15-74,2008,7
Bulgaria,Y15-74,2008,5.6
Switzerland,Y15-74,2008,3.4
Cyprus,Y15-74,2008,3.7
Czechia,Y15-74,2008,4.4
Germany (until 1990 former territory of the FRG),Y15-74,2008,7.5
Denmark,Y15-74,2008,3.7
Euro area - 19 countries  (from 2015),Y15-74,2008,7.5
Estonia,Y15-74,2008,5.5
Greece,Y15-74,2008,7.8
Spain,Y15-74,2008,11.3
European Union - 27 countries (from 2020),Y15-74,2008,7.2
European Union - 28 countries (2013-2020),Y15-74,2008,7
Finland,Y15-74,2008,6.4
France,Y15-74,2008,7.1
Croatia,Y15-74,2008,8.6
Hungary,Y15-74,2008,7.8
Ireland,Y15-74,2008,6.8
Iceland,Y15-74,2008,2.9
Italy,Y15-74,2008,6.7
Lithuania,Y15-74,2008,5.8
Luxembourg,Y15-74,2008,5.1
Latvia,Y15-74,2008,7.7
North Macedonia,Y15-74,2008,33.8
Malta,Y15-74,2008,6
Netherlands,Y15-74,2008,3.7
Norway,Y15-74,2008,2.5
Poland,Y15-74,2008,7.1
Portugal,Y15-74,2008,7.7
Romania,Y15-74,2008,5.8
Sweden,Y15-74,2008,6.2
Slovenia,Y15-74,2008,4.4
Slovakia,Y15-74,2008,9.5
Turkey,Y15-74,2008,9.8
United Kingdom,Y15-74,2008,5.6
Austria,Y20-64,2008,3.8
Belgium,Y20-64,2008,6.8
Bulgaria,Y20-64,2008,5.4
Switzerland,Y20-64,2008,3.2
Cyprus,Y20-64,2008,3.7
Czechia,Y20-64,2008,4.3
Germany (until 1990 former territory of the FRG),Y20-64,2008,7.5
Denmark,Y20-64,2008,3.1
Euro area - 19 countries  (from 2015),Y20-64,2008,7.2
Estonia,Y20-64,2008,5.2
Greece,Y20-64,2008,7.7
Spain,Y20-64,2008,10.6
European Union - 27 countries (from 2020),Y20-64,2008,6.9
European Union - 28 countries (2013-2020),Y20-64,2008,6.7
Finland,Y20-64,2008,5.6
France,Y20-64,2008,6.7
Croatia,Y20-64,2008,8.1
Hungary,Y20-64,2008,7.7
Ireland,Y20-64,2008,6.2
Iceland,Y20-64,2008,2.2
Italy,Y20-64,2008,6.4
Lithuania,Y20-64,2008,5.7
