edad,geo,Fecha,valor
Y15-74,European Union - 27 countries (from 2020),2005-01-01,9.6
Y15-74,European Union - 28 countries (2013-2020),2005-01-01,9
Y15-74,Finland,2005-01-01,8.4
Y15-74,France,2005-01-01,8.5
Y15-74,Croatia,2005-01-01,12.7
Y15-74,Hungary,2005-01-01,7.2
Y15-74,Ireland,2005-01-01,4.4
Y15-74,Iceland,2005-01-01,2.5
Y15-74,Italy,2005-01-01,7.7
Y15-74,Lithuania,2005-01-01,8.3
Y15-74,Luxembourg,2005-01-01,4.5
Y15-74,Latvia,2005-01-01,10
Y15-74,Malta,2005-01-01,6.9
Y15-74,Netherlands,2005-01-01,5.9
Y15-74,Norway,2005-01-01,4.4
Y15-74,Poland,2005-01-01,17.8
Y15-74,Portugal,2005-01-01,7.7
Y15-74,Romania,2005-01-01,7.2
Y15-74,Sweden,2005-01-01,7.8
Y15-74,Slovenia,2005-01-01,6.5
Y15-74,Slovakia,2005-01-01,16.3
Y15-74,United Kingdom,2005-01-01,4.8
Y20-64,Austria,2005-01-01,5.2
Y20-64,Belgium,2005-01-01,8.2
Y20-64,Bulgaria,2005-01-01,9.8
Y20-64,Switzerland,2005-01-01,4.3
Y20-64,Cyprus,2005-01-01,5.2
Y20-64,Czechia,2005-01-01,7.6
Y20-64,Germany (until 1990 former territory of the FRG),2005-01-01,11.2
Y20-64,Denmark,2005-01-01,4.6
Y20-64,Euro area - 19 countries  (from 2015),2005-01-01,8.8
Y20-64,Estonia,2005-01-01,7.9
Y20-64,Greece,2005-01-01,9.8
Y20-64,Spain,2005-01-01,8.7
Y20-64,European Union - 27 countries (from 2020),2005-01-01,9.3
Y20-64,European Union - 28 countries (2013-2020),2005-01-01,8.7
Y20-64,Finland,2005-01-01,7.7
Y20-64,France,2005-01-01,8.1
Y20-64,Croatia,2005-01-01,12.2
Y20-64,Hungary,2005-01-01,7
Y20-64,Ireland,2005-01-01,4.1
Y20-64,Iceland,2005-01-01,2.1
Y20-64,Italy,2005-01-01,7.4
Y20-64,Lithuania,2005-01-01,8.3
Y20-64,Luxembourg,2005-01-01,4.3
Y20-64,Latvia,2005-01-01,9.7
Y20-64,Malta,2005-01-01,5.6
Y20-64,Netherlands,2005-01-01,5.4
Y20-64,Norway,2005-01-01,3.8
Y20-64,Poland,2005-01-01,17.7
Y20-64,Portugal,2005-01-01,7.8
Y20-64,Romania,2005-01-01,7
Y20-64,Sweden,2005-01-01,6.8
Y20-64,Slovenia,2005-01-01,6.5
Y20-64,Slovakia,2005-01-01,15.7
Y20-64,United Kingdom,2005-01-01,4
Y25-29,Austria,2005-01-01,6.5
Y25-29,Belgium,2005-01-01,10.4
Y25-29,Bulgaria,2005-01-01,11
Y25-29,Switzerland,2005-01-01,5.2
Y25-29,Cyprus,2005-01-01,6.9
Y25-29,Czechia,2005-01-01,8.5
Y25-29,Germany (until 1990 former territory of the FRG),2005-01-01,12.5
Y25-29,Denmark,2005-01-01,5.5
Y25-29,Euro area - 19 countries  (from 2015),2005-01-01,11.2
Y25-29,Estonia,2005-01-01,8
Y25-29,Greece,2005-01-01,15.1
Y25-29,Spain,2005-01-01,11
Y25-29,European Union - 27 countries (from 2020),2005-01-01,11.8
Y25-29,European Union - 28 countries (2013-2020),2005-01-01,11
Y25-29,Finland,2005-01-01,8.6
Y25-29,France,2005-01-01,10.6
Y25-29,Croatia,2005-01-01,15.7
Y25-29,Hungary,2005-01-01,8.1
Y25-29,Ireland,2005-01-01,4.5
Y25-29,Iceland,2005-01-01,
Y25-29,Italy,2005-01-01,13.1
Y25-29,Lithuania,2005-01-01,6.4
Y25-29,Luxembourg,2005-01-01,4.7
Y25-29,Latvia,2005-01-01,9.8
Y25-29,Malta,2005-01-01,5.1
Y25-29,Netherlands,2005-01-01,5.3
Y25-29,Norway,2005-01-01,5.5
Y25-29,Poland,2005-01-01,20.2
Y25-29,Portugal,2005-01-01,11
Y25-29,Romania,2005-01-01,8.7
Y25-29,Sweden,2005-01-01,10.6
Y25-29,Slovenia,2005-01-01,9.3
Y25-29,Slovakia,2005-01-01,16.3
Y25-29,United Kingdom,2005-01-01,5
Y25-54,Austria,2005-01-01,4.8
Y25-54,Belgium,2005-01-01,7.4
Y25-54,Bulgaria,2005-01-01,9
Y25-54,Switzerland,2005-01-01,3.8
Y25-54,Cyprus,2005-01-01,4.5
Y25-54,Czechia,2005-01-01,7.1
Y25-54,Germany (until 1990 former territory of the FRG),2005-01-01,10.4
Y25-54,Denmark,2005-01-01,4.1
Y25-54,Euro area - 19 countries  (from 2015),2005-01-01,8.1
Y25-54,Estonia,2005-01-01,7.7
Y25-54,Greece,2005-01-01,9.2
Y25-54,Spain,2005-01-01,8
Y25-54,European Union - 27 countries (from 2020),2005-01-01,8.5
Y25-54,European Union - 28 countries (2013-2020),2005-01-01,7.9
Y25-54,Finland,2005-01-01,6.8
Y25-54,France,2005-01-01,7.5
Y25-54,Croatia,2005-01-01,10.9
Y25-54,Hungary,2005-01-01,6.4
Y25-54,Ireland,2005-01-01,3.7
Y25-54,Iceland,2005-01-01,1.7
Y25-54,Italy,2005-01-01,6.7
Y25-54,Lithuania,2005-01-01,7.9
Y25-54,Luxembourg,2005-01-01,3.9
Y25-54,Latvia,2005-01-01,9.5
Y25-54,Malta,2005-01-01,5
Y25-54,Netherlands,2005-01-01,4.8
Y25-54,Norway,2005-01-01,3.7
Y25-54,Poland,2005-01-01,15.7
Y25-54,Portugal,2005-01-01,7.2
Y25-54,Romania,2005-01-01,6.4
Y25-54,Sweden,2005-01-01,6.3
Y25-54,Slovenia,2005-01-01,5.6
Y25-54,Slovakia,2005-01-01,14.5
Y25-54,United Kingdom,2005-01-01,3.4
Y55-64,Austria,2005-01-01,4
Y55-64,Belgium,2005-01-01,4.4
Y55-64,Bulgaria,2005-01-01,8.6
Y55-64,Switzerland,2005-01-01,3.7
Y55-64,Cyprus,2005-01-01,3.5
Y55-64,Czechia,2005-01-01,5.2
Y55-64,Germany (until 1990 former territory of the FRG),2005-01-01,12.7
Y55-64,Denmark,2005-01-01,5.2
Y55-64,Euro area - 19 countries  (from 2015),2005-01-01,7.4
Y55-64,Estonia,2005-01-01,5.4
Y55-64,Greece,2005-01-01,3.8
Y55-64,Spain,2005-01-01,6.3
Y55-64,European Union - 27 countries (from 2020),2005-01-01,7.1
Y55-64,European Union - 28 countries (2013-2020),2005-01-01,6.4
Y55-64,Finland,2005-01-01,6.9
Y55-64,France,2005-01-01,4.6
Y55-64,Croatia,2005-01-01,7.2
Y55-64,Hungary,2005-01-01,3.9
Y55-64,Ireland,2005-01-01,2.8
Y55-64,Iceland,2005-01-01,
Y55-64,Italy,2005-01-01,3.5
Y55-64,Lithuania,2005-01-01,6.9
Y55-64,Luxembourg,2005-01-01,
Y55-64,Latvia,2005-01-01,8.9
Y55-64,Malta,2005-01-01,3.4
Y55-64,Netherlands,2005-01-01,4.8
Y55-64,Norway,2005-01-01,1.5
Y55-64,Poland,2005-01-01,10.8
Y55-64,Portugal,2005-01-01,6.1
Y55-64,Romania,2005-01-01,2.4
Y55-64,Sweden,2005-01-01,4.5
Y55-64,Slovenia,2005-01-01,4.2
Y55-64,Slovakia,2005-01-01,13.4
Y55-64,United Kingdom,2005-01-01,2.7
Y15-24,Austria,2006-01-01,9.8
Y15-24,Belgium,2006-01-01,20.5
Y15-24,Bulgaria,2006-01-01,19.5
Y15-24,Switzerland,2006-01-01,7.7
Y15-24,Cyprus,2006-01-01,10
Y15-24,Czechia,2006-01-01,17.5
Y15-24,Germany (until 1990 former territory of the FRG),2006-01-01,13.8
Y15-24,Denmark,2006-01-01,7.7
Y15-24,Euro area - 19 countries  (from 2015),2006-01-01,16.9
Y15-24,Estonia,2006-01-01,12.1
Y15-24,Greece,2006-01-01,25
Y15-24,Spain,2006-01-01,17.9
Y15-24,European Union - 27 countries (from 2020),2006-01-01,18.4
Y15-24,European Union - 28 countries (2013-2020),2006-01-01,17.6
Y15-24,Finland,2006-01-01,18.7
Y15-24,France,2006-01-01,21.3
Y15-24,Croatia,2006-01-01,28.9
Y15-24,Hungary,2006-01-01,19.1
Y15-24,Ireland,2006-01-01,8.6
Y15-24,Iceland,2006-01-01,8.3
Y15-24,Italy,2006-01-01,21.8
Y15-24,Lithuania,2006-01-01,10
Y15-24,Luxembourg,2006-01-01,16.2
Y15-24,Latvia,2006-01-01,13.6
Y15-24,North Macedonia,2006-01-01,59.7
Y15-24,Malta,2006-01-01,15.5
Y15-24,Netherlands,2006-01-01,10
Y15-24,Norway,2006-01-01,8.7
Y15-24,Poland,2006-01-01,29.8
Y15-24,Portugal,2006-01-01,16.5
Y15-24,Romania,2006-01-01,21.4
Y15-24,Sweden,2006-01-01,21.5
Y15-24,Slovenia,2006-01-01,13.9
Y15-24,Slovakia,2006-01-01,26.6
Y15-24,Turkey,2006-01-01,16.4
Y15-24,United Kingdom,2006-01-01,13.9
Y15-74,Austria,2006-01-01,5.3
Y15-74,Belgium,2006-01-01,8.3
Y15-74,Bulgaria,2006-01-01,9
Y15-74,Switzerland,2006-01-01,4
Y15-74,Cyprus,2006-01-01,4.6
Y15-74,Czechia,2006-01-01,7.2
Y15-74,Germany (until 1990 former territory of the FRG),2006-01-01,10.3
Y15-74,Denmark,2006-01-01,3.9
Y15-74,Euro area - 19 countries  (from 2015),2006-01-01,8.3
Y15-74,Estonia,2006-01-01,5.9
Y15-74,Greece,2006-01-01,9
Y15-74,Spain,2006-01-01,8.5
Y15-74,European Union - 27 countries (from 2020),2006-01-01,8.6
Y15-74,European Union - 28 countries (2013-2020),2006-01-01,8.2
Y15-74,Finland,2006-01-01,7.7
Y15-74,France,2006-01-01,8.5
Y15-74,Croatia,2006-01-01,11.2
Y15-74,Hungary,2006-01-01,7.5
Y15-74,Ireland,2006-01-01,4.4
Y15-74,Iceland,2006-01-01,2.8
Y15-74,Italy,2006-01-01,6.8
Y15-74,Lithuania,2006-01-01,5.8
Y15-74,Luxembourg,2006-01-01,4.7
Y15-74,Latvia,2006-01-01,7
Y15-74,North Macedonia,2006-01-01,36.1
Y15-74,Malta,2006-01-01,6.8
Y15-74,Netherlands,2006-01-01,5
Y15-74,Norway,2006-01-01,3.4
Y15-74,Poland,2006-01-01,13.9
Y15-74,Portugal,2006-01-01,7.8
Y15-74,Romania,2006-01-01,7.3
Y15-74,Sweden,2006-01-01,7.1
Y15-74,Slovenia,2006-01-01,6
Y15-74,Slovakia,2006-01-01,13.4
Y15-74,Turkey,2006-01-01,8.8
Y15-74,United Kingdom,2006-01-01,5.4
Y20-64,Austria,2006-01-01,4.9
Y20-64,Belgium,2006-01-01,8
Y20-64,Bulgaria,2006-01-01,8.6
Y20-64,Switzerland,2006-01-01,3.8
Y20-64,Cyprus,2006-01-01,4.5
Y20-64,Czechia,2006-01-01,6.9
Y20-64,Germany (until 1990 former territory of the FRG),2006-01-01,10.2
Y20-64,Denmark,2006-01-01,3.5
Y20-64,Euro area - 19 countries  (from 2015),2006-01-01,8.1
Y20-64,Estonia,2006-01-01,5.7
Y20-64,Greece,2006-01-01,8.9
Y20-64,Spain,2006-01-01,8
Y20-64,European Union - 27 countries (from 2020),2006-01-01,8.4
Y20-64,European Union - 28 countries (2013-2020),2006-01-01,7.9
Y20-64,Finland,2006-01-01,7
Y20-64,France,2006-01-01,8
Y20-64,Croatia,2006-01-01,10.8
Y20-64,Hungary,2006-01-01,7.3
Y20-64,Ireland,2006-01-01,4.1
Y20-64,Iceland,2006-01-01,2
Y20-64,Italy,2006-01-01,6.5
Y20-64,Lithuania,2006-01-01,5.7
Y20-64,Luxembourg,2006-01-01,4.4
Y20-64,Latvia,2006-01-01,6.7
Y20-64,North Macedonia,2006-01-01,35.4
Y20-64,Malta,2006-01-01,5.6
Y20-64,Netherlands,2006-01-01,4.5
Y20-64,Norway,2006-01-01,3
Y20-64,Poland,2006-01-01,13.8
Y20-64,Portugal,2006-01-01,7.8
Y20-64,Romania,2006-01-01,7
Y20-64,Sweden,2006-01-01,6.1
Y20-64,Slovenia,2006-01-01,5.9
Y20-64,Slovakia,2006-01-01,12.8
Y20-64,Turkey,2006-01-01,8.4
Y20-64,United Kingdom,2006-01-01,4.5
Y25-29,Austria,2006-01-01,6.2
Y25-29,Belgium,2006-01-01,10.1
Y25-29,Bulgaria,2006-01-01,10.3
Y25-29,Switzerland,2006-01-01,4.7
Y25-29,Cyprus,2006-01-01,5.9
Y25-29,Czechia,2006-01-01,6.6
Y25-29,Germany (until 1990 former territory of the FRG),2006-01-01,11.5
Y25-29,Denmark,2006-01-01,5.1
Y25-29,Euro area - 19 countries  (from 2015),2006-01-01,10.2
Y25-29,Estonia,2006-01-01,4.6
Y25-29,Greece,2006-01-01,14
Y25-29,Spain,2006-01-01,10.1
Y25-29,European Union - 27 countries (from 2020),2006-01-01,10.5
Y25-29,European Union - 28 countries (2013-2020),2006-01-01,9.9
Y25-29,Finland,2006-01-01,7.7
Y25-29,France,2006-01-01,10
Y25-29,Croatia,2006-01-01,13.8
Y25-29,Hungary,2006-01-01,8.6
Y25-29,Ireland,2006-01-01,4.9
Y25-29,Iceland,2006-01-01,3
Y25-29,Italy,2006-01-01,11.6
Y25-29,Lithuania,2006-01-01,4.9
Y25-29,Luxembourg,2006-01-01,6.7
Y25-29,Latvia,2006-01-01,7.2
Y25-29,North Macedonia,2006-01-01,44.8
Y25-29,Malta,2006-01-01,6.1
Y25-29,Netherlands,2006-01-01,3.9
Y25-29,Norway,2006-01-01,4.4
Y25-29,Poland,2006-01-01,15.3
Y25-29,Portugal,2006-01-01,11.2
Y25-29,Romania,2006-01-01,9.4
Y25-29,Sweden,2006-01-01,8.7
Y25-29,Slovenia,2006-01-01,10.4
Y25-29,Slovakia,2006-01-01,12.4
Y25-29,Turkey,2006-01-01,11.1
Y25-29,United Kingdom,2006-01-01,5.5
Y25-54,Austria,2006-01-01,4.6
Y25-54,Belgium,2006-01-01,7.2
Y25-54,Bulgaria,2006-01-01,8
Y25-54,Switzerland,2006-01-01,3.5
Y25-54,Cyprus,2006-01-01,4.1
Y25-54,Czechia,2006-01-01,6.4
Y25-54,Germany (until 1990 former territory of the FRG),2006-01-01,9.5
Y25-54,Denmark,2006-01-01,3.2
Y25-54,Euro area - 19 countries  (from 2015),2006-01-01,7.4
Y25-54,Estonia,2006-01-01,5.6
Y25-54,Greece,2006-01-01,8.2
Y25-54,Spain,2006-01-01,7.5
Y25-54,European Union - 27 countries (from 2020),2006-01-01,7.7
Y25-54,European Union - 28 countries (2013-2020),2006-01-01,7.2
Y25-54,Finland,2006-01-01,6.1
Y25-54,France,2006-01-01,7.2
Y25-54,Croatia,2006-01-01,9.9
Y25-54,Hungary,2006-01-01,6.8
Y25-54,Ireland,2006-01-01,3.8
Y25-54,Iceland,2006-01-01,1.8
Y25-54,Italy,2006-01-01,5.9
Y25-54,Lithuania,2006-01-01,5.4
Y25-54,Luxembourg,2006-01-01,4.1
Y25-54,Latvia,2006-01-01,6.2
Y25-54,North Macedonia,2006-01-01,33.3
Y25-54,Malta,2006-01-01,5.1
Y25-54,Netherlands,2006-01-01,4
Y25-54,Norway,2006-01-01,2.9
Y25-54,Poland,2006-01-01,12.2
Y25-54,Portugal,2006-01-01,7.3
Y25-54,Romania,2006-01-01,6.4
Y25-54,Sweden,2006-01-01,5.3
Y25-54,Slovenia,2006-01-01,5.4
Y25-54,Slovakia,2006-01-01,11.9
Y25-54,Turkey,2006-01-01,7.4
Y25-54,United Kingdom,2006-01-01,4
Y55-64,Austria,2006-01-01,4
Y55-64,Belgium,2006-01-01,4.8
Y55-64,Bulgaria,2006-01-01,7.9
Y55-64,Switzerland,2006-01-01,3.1
Y55-64,Cyprus,2006-01-01,3.3
Y55-64,Czechia,2006-01-01,5.3
Y55-64,Germany (until 1990 former territory of the FRG),2006-01-01,12.4
Y55-64,Denmark,2006-01-01,3.9
Y55-64,Euro area - 19 countries  (from 2015),2006-01-01,7.1
Y55-64,Estonia,2006-01-01,4.1
Y55-64,Greece,2006-01-01,3.7
Y55-64,Spain,2006-01-01,5.8
Y55-64,European Union - 27 countries (from 2020),2006-01-01,6.7
Y55-64,European Union - 28 countries (2013-2020),2006-01-01,6.1
Y55-64,Finland,2006-01-01,6.8
Y55-64,France,2006-01-01,5
Y55-64,Croatia,2006-01-01,6
Y55-64,Hungary,2006-01-01,4
Y55-64,Ireland,2006-01-01,2.4
Y55-64,Iceland,2006-01-01,
Y55-64,Italy,2006-01-01,2.9
Y55-64,Lithuania,2006-01-01,6.1
Y55-64,Luxembourg,2006-01-01,
Y55-64,Latvia,2006-01-01,6.7
Y55-64,North Macedonia,2006-01-01,28.4
Y55-64,Malta,2006-01-01,
Y55-64,Netherlands,2006-01-01,4.8
Y55-64,Norway,2006-01-01,1.1
Y55-64,Poland,2006-01-01,8.5
Y55-64,Portugal,2006-01-01,6.3
Y55-64,Romania,2006-01-01,2.6
Y55-64,Sweden,2006-01-01,4.4
Y55-64,Slovenia,2006-01-01,2.5
Y55-64,Slovakia,2006-01-01,9.8
Y55-64,Turkey,2006-01-01,3.6
Y55-64,United Kingdom,2006-01-01,3
Y15-24,Austria,2007-01-01,9.4
Y15-24,Belgium,2007-01-01,18.8
Y15-24,Bulgaria,2007-01-01,15.1
Y15-24,Switzerland,2007-01-01,7.1
Y15-24,Cyprus,2007-01-01,10.2
Y15-24,Czechia,2007-01-01,10.7
Y15-24,Germany (until 1990 former territory of the FRG),2007-01-01,11.9
Y15-24,Denmark,2007-01-01,7.5
Y15-24,Euro area - 19 countries  (from 2015),2007-01-01,15.3
Y15-24,Estonia,2007-01-01,10.1
Y15-24,Greece,2007-01-01,22.7
Y15-24,Spain,2007-01-01,18.1
Y15-24,European Union - 27 countries (from 2020),2007-01-01,16
Y15-24,European Union - 28 countries (2013-2020),2007-01-01,15.7
Y15-24,Finland,2007-01-01,16.5
Y15-24,France,2007-01-01,18.8
Y15-24,Croatia,2007-01-01,25.2
Y15-24,Hungary,2007-01-01,18
Y15-24,Ireland,2007-01-01,9.2
Y15-24,Iceland,2007-01-01,7
Y15-24,Italy,2007-01-01,20.4
Y15-24,Lithuania,2007-01-01,8.4
Y15-24,Luxembourg,2007-01-01,15.2
Y15-24,Latvia,2007-01-01,10.6
Y15-24,North Macedonia,2007-01-01,57.7
Y15-24,Malta,2007-01-01,13.5
Y15-24,Netherlands,2007-01-01,9.4
Y15-24,Norway,2007-01-01,7.4
Y15-24,Poland,2007-01-01,21.7
Y15-24,Portugal,2007-01-01,16.7
Y15-24,Romania,2007-01-01,20.1
Y15-24,Sweden,2007-01-01,19.3
Y15-24,Slovenia,2007-01-01,10.1
Y15-24,Slovakia,2007-01-01,20.3
Y15-24,Turkey,2007-01-01,17.2
Y15-24,United Kingdom,2007-01-01,14.3
Y15-74,Austria,2007-01-01,4.9
Y15-74,Belgium,2007-01-01,7.5
Y15-74,Bulgaria,2007-01-01,6.9
Y15-74,Switzerland,2007-01-01,3.7
Y15-74,Cyprus,2007-01-01,3.9
Y15-74,Czechia,2007-01-01,5.3
Y15-74,Germany (until 1990 former territory of the FRG),2007-01-01,8.7
Y15-74,Denmark,2007-01-01,3.8
Y15-74,Euro area - 19 countries  (from 2015),2007-01-01,7.5
Y15-74,Estonia,2007-01-01,4.6
Y15-74,Greece,2007-01-01,8.4
Y15-74,Spain,2007-01-01,8.2
Y15-74,European Union - 27 countries (from 2020),2007-01-01,7.5
Y15-74,European Union - 28 countries (2013-2020),2007-01-01,7.2
Y15-74,Finland,2007-01-01,6.9
Y15-74,France,2007-01-01,7.7
Y15-74,Croatia,2007-01-01,9.9
Y15-74,Hungary,2007-01-01,7.4
Y15-74,Ireland,2007-01-01,5
Y15-74,Iceland,2007-01-01,2.3
Y15-74,Italy,2007-01-01,6.1
Y15-74,Lithuania,2007-01-01,4.3
Y15-74,Luxembourg,2007-01-01,4.1
Y15-74,Latvia,2007-01-01,6.1
Y15-74,North Macedonia,2007-01-01,35
Y15-74,Malta,2007-01-01,6.5
Y15-74,Netherlands,2007-01-01,4.2
Y15-74,Norway,2007-01-01,2.5
Y15-74,Poland,2007-01-01,9.6
Y15-74,Portugal,2007-01-01,8.1
Y15-74,Romania,2007-01-01,6.4
Y15-74,Sweden,2007-01-01,6.2
Y15-74,Slovenia,2007-01-01,4.9
Y15-74,Slovakia,2007-01-01,11.1
Y15-74,Turkey,2007-01-01,8.9
Y15-74,United Kingdom,2007-01-01,5.3
Y20-64,Austria,2007-01-01,4.5
Y20-64,Belgium,2007-01-01,7.2
Y20-64,Bulgaria,2007-01-01,6.6
Y20-64,Switzerland,2007-01-01,3.5
Y20-64,Cyprus,2007-01-01,3.9
Y20-64,Czechia,2007-01-01,5.2
Y20-64,Germany (until 1990 former territory of the FRG),2007-01-01,8.6
Y20-64,Denmark,2007-01-01,3.4
Y20-64,Euro area - 19 countries  (from 2015),2007-01-01,7.2
Y20-64,Estonia,2007-01-01,4.4
Y20-64,Greece,2007-01-01,8.3
Y20-64,Spain,2007-01-01,7.8
Y20-64,European Union - 27 countries (from 2020),2007-01-01,7.2
Y20-64,European Union - 28 countries (2013-2020),2007-01-01,6.8
Y20-64,Finland,2007-01-01,6.1
Y20-64,France,2007-01-01,7.3
Y20-64,Croatia,2007-01-01,9.4
Y20-64,Hungary,2007-01-01,7.3
Y20-64,Ireland,2007-01-01,4.5
Y20-64,Iceland,2007-01-01,1.6
Y20-64,Italy,2007-01-01,5.8
Y20-64,Lithuania,2007-01-01,4.2
Y20-64,Luxembourg,2007-01-01,3.8
Y20-64,Latvia,2007-01-01,5.8
Y20-64,North Macedonia,2007-01-01,34.3
Y20-64,Malta,2007-01-01,5.4
Y20-64,Netherlands,2007-01-01,3.6
Y20-64,Norway,2007-01-01,2.1
Y20-64,Poland,2007-01-01,9.6
Y20-64,Portugal,2007-01-01,8.2
Y20-64,Romania,2007-01-01,6.3
Y20-64,Sweden,2007-01-01,5.1
Y20-64,Slovenia,2007-01-01,4.8
Y20-64,Slovakia,2007-01-01,10.7
Y20-64,Turkey,2007-01-01,8.5
Y20-64,United Kingdom,2007-01-01,4.4
Y25-29,Austria,2007-01-01,5.9
Y25-29,Belgium,2007-01-01,10
Y25-29,Bulgaria,2007-01-01,7.5
Y25-29,Switzerland,2007-01-01,4.7
Y25-29,Cyprus,2007-01-01,4.6
Y25-29,Czechia,2007-01-01,5.2
Y25-29,Germany (until 1990 former territory of the FRG),2007-01-01,9.9
Y25-29,Denmark,2007-01-01,4.6
Y25-29,Euro area - 19 countries  (from 2015),2007-01-01,9.4
Y25-29,Estonia,2007-01-01,4.4
Y25-29,Greece,2007-01-01,14.2
Y25-29,Spain,2007-01-01,9
Y25-29,European Union - 27 countries (from 2020),2007-01-01,9.2
Y25-29,European Union - 28 countries (2013-2020),2007-01-01,8.7
Y25-29,Finland,2007-01-01,7
Y25-29,France,2007-01-01,10.1
Y25-29,Croatia,2007-01-01,13.2
Y25-29,Hungary,2007-01-01,8.5
Y25-29,Ireland,2007-01-01,5.3
Y25-29,Iceland,2007-01-01,
Y25-29,Italy,2007-01-01,10.4
Y25-29,Lithuania,2007-01-01,4.6
Y25-29,Luxembourg,2007-01-01,5.5
Y25-29,Latvia,2007-01-01,6.5
Y25-29,North Macedonia,2007-01-01,42.5
Y25-29,Malta,2007-01-01,5.3
Y25-29,Netherlands,2007-01-01,2.9
Y25-29,Norway,2007-01-01,3
Y25-29,Poland,2007-01-01,10.6
Y25-29,Portugal,2007-01-01,11.7
Y25-29,Romania,2007-01-01,7.6
Y25-29,Sweden,2007-01-01,7
Y25-29,Slovenia,2007-01-01,8.1
Y25-29,Slovakia,2007-01-01,11.5
Y25-29,Turkey,2007-01-01,10.9
Y25-29,United Kingdom,2007-01-01,4.9
Y25-54,Austria,2007-01-01,4.2
Y25-54,Belgium,2007-01-01,6.6
Y25-54,Bulgaria,2007-01-01,6.1
Y25-54,Switzerland,2007-01-01,3.2
Y25-54,Cyprus,2007-01-01,3.4
Y25-54,Czechia,2007-01-01,4.9
Y25-54,Germany (until 1990 former territory of the FRG),2007-01-01,8
Y25-54,Denmark,2007-01-01,3.1
Y25-54,Euro area - 19 countries  (from 2015),2007-01-01,6.6
Y25-54,Estonia,2007-01-01,4.2
Y25-54,Greece,2007-01-01,7.8
Y25-54,Spain,2007-01-01,7.2
Y25-54,European Union - 27 countries (from 2020),2007-01-01,6.6
Y25-54,European Union - 28 countries (2013-2020),2007-01-01,6.3
Y25-54,Finland,2007-01-01,5.3
Y25-54,France,2007-01-01,6.6
Y25-54,Croatia,2007-01-01,8.7
Y25-54,Hungary,2007-01-01,6.9
Y25-54,Ireland,2007-01-01,4.3
Y25-54,Iceland,2007-01-01,1.3
Y25-54,Italy,2007-01-01,5.3
Y25-54,Lithuania,2007-01-01,4
Y25-54,Luxembourg,2007-01-01,3.4
Y25-54,Latvia,2007-01-01,5.7
Y25-54,North Macedonia,2007-01-01,32.3
Y25-54,Malta,2007-01-01,5.1
Y25-54,Netherlands,2007-01-01,3
Y25-54,Norway,2007-01-01,1.9
Y25-54,Poland,2007-01-01,8.4
Y25-54,Portugal,2007-01-01,7.8
Y25-54,Romania,2007-01-01,5.6
Y25-54,Sweden,2007-01-01,4.4
Y25-54,Slovenia,2007-01-01,4.5
Y25-54,Slovakia,2007-01-01,10.2
Y25-54,Turkey,2007-01-01,7.4
Y25-54,United Kingdom,2007-01-01,3.8
Y55-64,Austria,2007-01-01,3.4
Y55-64,Belgium,2007-01-01,4.2
Y55-64,Bulgaria,2007-01-01,6.8
Y55-64,Switzerland,2007-01-01,3.1
