Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;00 TotalNacional;De 16 a 19 años;2016_T3;54.69
Ambos sexos;00 TotalNacional;De 16 a 19 años;2016_T2;63.52
Ambos sexos;00 TotalNacional;De 16 a 19 años;2016_T1;64.12
Ambos sexos;00 TotalNacional;De 16 a 19 años;2015_T4;66.09
Ambos sexos;00 TotalNacional;De 16 a 19 años;2015_T3;63.73
Ambos sexos;00 TotalNacional;De 16 a 19 años;2015_T2;69.36
Ambos sexos;00 TotalNacional;De 16 a 19 años;2015_T1;70.45
Ambos sexos;00 TotalNacional;De 20 a 24 años;2020_T3;37.18
Ambos sexos;00 TotalNacional;De 20 a 24 años;2020_T2;36.89
Ambos sexos;00 TotalNacional;De 20 a 24 años;2020_T1;30.12
Ambos sexos;00 TotalNacional;De 20 a 24 años;2019_T4;27.72
Ambos sexos;00 TotalNacional;De 20 a 24 años;2019_T3;29.28
Ambos sexos;00 TotalNacional;De 20 a 24 años;2019_T2;30.22
Ambos sexos;00 TotalNacional;De 20 a 24 años;2019_T1;32
Ambos sexos;00 TotalNacional;De 20 a 24 años;2018_T4;30.78
Ambos sexos;00 TotalNacional;De 20 a 24 años;2018_T3;30.1
Ambos sexos;00 TotalNacional;De 20 a 24 años;2018_T2;30.97
Ambos sexos;00 TotalNacional;De 20 a 24 años;2018_T1;32.37
Ambos sexos;00 TotalNacional;De 20 a 24 años;2017_T4;33.95
Ambos sexos;00 TotalNacional;De 20 a 24 años;2017_T3;32.69
Ambos sexos;00 TotalNacional;De 20 a 24 años;2017_T2;36.15
Ambos sexos;00 TotalNacional;De 20 a 24 años;2017_T1;38.37
Ambos sexos;00 TotalNacional;De 20 a 24 años;2016_T4;39.83
Ambos sexos;00 TotalNacional;De 20 a 24 años;2016_T3;39.27
Ambos sexos;00 TotalNacional;De 20 a 24 años;2016_T2;43.33
Ambos sexos;00 TotalNacional;De 20 a 24 años;2016_T1;43.26
Ambos sexos;00 TotalNacional;De 20 a 24 años;2015_T4;42.52
Ambos sexos;00 TotalNacional;De 20 a 24 años;2015_T3;42.89
Ambos sexos;00 TotalNacional;De 20 a 24 años;2015_T2;45.26
Ambos sexos;00 TotalNacional;De 20 a 24 años;2015_T1;47.74
Ambos sexos;00 TotalNacional;De 25 a 54 años;2020_T3;15.12
Ambos sexos;00 TotalNacional;De 25 a 54 años;2020_T2;14.37
Ambos sexos;00 TotalNacional;De 25 a 54 años;2020_T1;13.39
Ambos sexos;00 TotalNacional;De 25 a 54 años;2019_T4;12.67
Ambos sexos;00 TotalNacional;De 25 a 54 años;2019_T3;12.72
Ambos sexos;00 TotalNacional;De 25 a 54 años;2019_T2;12.76
Ambos sexos;00 TotalNacional;De 25 a 54 años;2019_T1;13.48
Ambos sexos;00 TotalNacional;De 25 a 54 años;2018_T4;13.18
Ambos sexos;00 TotalNacional;De 25 a 54 años;2018_T3;13.39
Ambos sexos;00 TotalNacional;De 25 a 54 años;2018_T2;14.01
Ambos sexos;00 TotalNacional;De 25 a 54 años;2018_T1;15.58
Ambos sexos;00 TotalNacional;De 25 a 54 años;2017_T4;15.23
Ambos sexos;00 TotalNacional;De 25 a 54 años;2017_T3;15.02
Ambos sexos;00 TotalNacional;De 25 a 54 años;2017_T2;15.84
Ambos sexos;00 TotalNacional;De 25 a 54 años;2017_T1;17.56
Ambos sexos;00 TotalNacional;De 25 a 54 años;2016_T4;17.19
Ambos sexos;00 TotalNacional;De 25 a 54 años;2016_T3;17.5
Ambos sexos;00 TotalNacional;De 25 a 54 años;2016_T2;18.48
Ambos sexos;00 TotalNacional;De 25 a 54 años;2016_T1;19.67
Ambos sexos;00 TotalNacional;De 25 a 54 años;2015_T4;19.42
Ambos sexos;00 TotalNacional;De 25 a 54 años;2015_T3;19.48
Ambos sexos;00 TotalNacional;De 25 a 54 años;2015_T2;20.88
Ambos sexos;00 TotalNacional;De 25 a 54 años;2015_T1;22.42
Ambos sexos;00 TotalNacional;De 55 y más años;2020_T3;12.07
Ambos sexos;00 TotalNacional;De 55 y más años;2020_T2;11.56
Ambos sexos;00 TotalNacional;De 55 y más años;2020_T1;12.09
Ambos sexos;00 TotalNacional;De 55 y más años;2019_T4;12.35
Ambos sexos;00 TotalNacional;De 55 y más años;2019_T3;11.79
Ambos sexos;00 TotalNacional;De 55 y más años;2019_T2;12.27
Ambos sexos;00 TotalNacional;De 55 y más años;2019_T1;12.57
Ambos sexos;00 TotalNacional;De 55 y más años;2018_T4;12.77
Ambos sexos;00 TotalNacional;De 55 y más años;2018_T3;12.13
Ambos sexos;00 TotalNacional;De 55 y más años;2018_T2;13.48
Ambos sexos;00 TotalNacional;De 55 y más años;2018_T1;14.78
Ambos sexos;00 TotalNacional;De 55 y más años;2017_T4;14.37
Ambos sexos;00 TotalNacional;De 55 y más años;2017_T3;14.27
Ambos sexos;00 TotalNacional;De 55 y más años;2017_T2;14.85
Ambos sexos;00 TotalNacional;De 55 y más años;2017_T1;15.56
Ambos sexos;00 TotalNacional;De 55 y más años;2016_T4;16.06
Ambos sexos;00 TotalNacional;De 55 y más años;2016_T3;15.98
Ambos sexos;00 TotalNacional;De 55 y más años;2016_T2;16.46
Ambos sexos;00 TotalNacional;De 55 y más años;2016_T1;17.26
Ambos sexos;00 TotalNacional;De 55 y más años;2015_T4;17.64
Ambos sexos;00 TotalNacional;De 55 y más años;2015_T3;17.78
Ambos sexos;00 TotalNacional;De 55 y más años;2015_T2;17.89
Ambos sexos;00 TotalNacional;De 55 y más años;2015_T1;18.41
Ambos sexos;01 Andalucía;Total;2020_T3;23.8
Ambos sexos;01 Andalucía;Total;2020_T2;21.32
Ambos sexos;01 Andalucía;Total;2020_T1;21.21
Ambos sexos;01 Andalucía;Total;2019_T4;20.8
Ambos sexos;01 Andalucía;Total;2019_T3;21.83
Ambos sexos;01 Andalucía;Total;2019_T2;21.04
Ambos sexos;01 Andalucía;Total;2019_T1;21.08
Ambos sexos;01 Andalucía;Total;2018_T4;21.26
Ambos sexos;01 Andalucía;Total;2018_T3;22.85
Ambos sexos;01 Andalucía;Total;2018_T2;23.09
Ambos sexos;01 Andalucía;Total;2018_T1;24.74
Ambos sexos;01 Andalucía;Total;2017_T4;24.43
Ambos sexos;01 Andalucía;Total;2017_T3;25.41
Ambos sexos;01 Andalucía;Total;2017_T2;25.24
Ambos sexos;01 Andalucía;Total;2017_T1;26.94
Ambos sexos;01 Andalucía;Total;2016_T4;28.25
Ambos sexos;01 Andalucía;Total;2016_T3;28.52
Ambos sexos;01 Andalucía;Total;2016_T2;29.07
Ambos sexos;01 Andalucía;Total;2016_T1;29.7
Ambos sexos;01 Andalucía;Total;2015_T4;29.83
Ambos sexos;01 Andalucía;Total;2015_T3;31.73
Ambos sexos;01 Andalucía;Total;2015_T2;30.98
Ambos sexos;01 Andalucía;Total;2015_T1;33.62
Ambos sexos;01 Andalucía;Menores de 25 años;2020_T3;51.53
Ambos sexos;01 Andalucía;Menores de 25 años;2020_T2;49.94
Ambos sexos;01 Andalucía;Menores de 25 años;2020_T1;44.67
Ambos sexos;01 Andalucía;Menores de 25 años;2019_T4;41
Ambos sexos;01 Andalucía;Menores de 25 años;2019_T3;43.7
Ambos sexos;01 Andalucía;Menores de 25 años;2019_T2;40.94
Ambos sexos;01 Andalucía;Menores de 25 años;2019_T1;40.93
Ambos sexos;01 Andalucía;Menores de 25 años;2018_T4;45.09
Ambos sexos;01 Andalucía;Menores de 25 años;2018_T3;46
Ambos sexos;01 Andalucía;Menores de 25 años;2018_T2;47.29
Ambos sexos;01 Andalucía;Menores de 25 años;2018_T1;48.7
Ambos sexos;01 Andalucía;Menores de 25 años;2017_T4;47.88
Ambos sexos;01 Andalucía;Menores de 25 años;2017_T3;45.97
Ambos sexos;01 Andalucía;Menores de 25 años;2017_T2;48.69
Ambos sexos;01 Andalucía;Menores de 25 años;2017_T1;54.06
Ambos sexos;01 Andalucía;Menores de 25 años;2016_T4;57.79
Ambos sexos;01 Andalucía;Menores de 25 años;2016_T3;55.18
Ambos sexos;01 Andalucía;Menores de 25 años;2016_T2;58.62
Ambos sexos;01 Andalucía;Menores de 25 años;2016_T1;60.14
Ambos sexos;01 Andalucía;Menores de 25 años;2015_T4;55.44
Ambos sexos;01 Andalucía;Menores de 25 años;2015_T3;57.15
Ambos sexos;01 Andalucía;Menores de 25 años;2015_T2;57.61
Ambos sexos;01 Andalucía;Menores de 25 años;2015_T1;57.06
Ambos sexos;01 Andalucía;25 y más años;2020_T3;21.75
Ambos sexos;01 Andalucía;25 y más años;2020_T2;19.51
Ambos sexos;01 Andalucía;25 y más años;2020_T1;19.51
Ambos sexos;01 Andalucía;25 y más años;2019_T4;19.31
Ambos sexos;01 Andalucía;25 y más años;2019_T3;20.03
Ambos sexos;01 Andalucía;25 y más años;2019_T2;19.53
Ambos sexos;01 Andalucía;25 y más años;2019_T1;19.62
Ambos sexos;01 Andalucía;25 y más años;2018_T4;19.43
Ambos sexos;01 Andalucía;25 y más años;2018_T3;20.99
Ambos sexos;01 Andalucía;25 y más años;2018_T2;21.28
Ambos sexos;01 Andalucía;25 y más años;2018_T1;23.08
Ambos sexos;01 Andalucía;25 y más años;2017_T4;22.68
Ambos sexos;01 Andalucía;25 y más años;2017_T3;23.68
Ambos sexos;01 Andalucía;25 y más años;2017_T2;23.44
Ambos sexos;01 Andalucía;25 y más años;2017_T1;24.94
Ambos sexos;01 Andalucía;25 y más años;2016_T4;26.15
Ambos sexos;01 Andalucía;25 y más años;2016_T3;26.43
Ambos sexos;01 Andalucía;25 y más años;2016_T2;26.78
Ambos sexos;01 Andalucía;25 y más años;2016_T1;27.32
Ambos sexos;01 Andalucía;25 y más años;2015_T4;27.82
Ambos sexos;01 Andalucía;25 y más años;2015_T3;29.52
Ambos sexos;01 Andalucía;25 y más años;2015_T2;28.73
Ambos sexos;01 Andalucía;25 y más años;2015_T1;31.63
Ambos sexos;01 Andalucía;De 16 a 19 años;2020_T3;71.48
Ambos sexos;01 Andalucía;De 16 a 19 años;2020_T2;57.39
Ambos sexos;01 Andalucía;De 16 a 19 años;2020_T1;58.84
Ambos sexos;01 Andalucía;De 16 a 19 años;2019_T4;53.71
Ambos sexos;01 Andalucía;De 16 a 19 años;2019_T3;54.83
Ambos sexos;01 Andalucía;De 16 a 19 años;2019_T2;54.86
Ambos sexos;01 Andalucía;De 16 a 19 años;2019_T1;59.24
Ambos sexos;01 Andalucía;De 16 a 19 años;2018_T4;56.04
Ambos sexos;01 Andalucía;De 16 a 19 años;2018_T3;55.96
Ambos sexos;01 Andalucía;De 16 a 19 años;2018_T2;61.05
Ambos sexos;01 Andalucía;De 16 a 19 años;2018_T1;68.55
Ambos sexos;01 Andalucía;De 16 a 19 años;2017_T4;66.36
Ambos sexos;01 Andalucía;De 16 a 19 años;2017_T3;60.44
Ambos sexos;01 Andalucía;De 16 a 19 años;2017_T2;60.88
Ambos sexos;01 Andalucía;De 16 a 19 años;2017_T1;69.98
Ambos sexos;01 Andalucía;De 16 a 19 años;2016_T4;78.18
Ambos sexos;01 Andalucía;De 16 a 19 años;2016_T3;70.33
Ambos sexos;01 Andalucía;De 16 a 19 años;2016_T2;68.82
Ambos sexos;01 Andalucía;De 16 a 19 años;2016_T1;74.45
Ambos sexos;01 Andalucía;De 16 a 19 años;2015_T4;69.62
Ambos sexos;01 Andalucía;De 16 a 19 años;2015_T3;69.47
Ambos sexos;01 Andalucía;De 16 a 19 años;2015_T2;79.02
Ambos sexos;01 Andalucía;De 16 a 19 años;2015_T1;76.95
Ambos sexos;01 Andalucía;De 20 a 24 años;2020_T3;47.48
Ambos sexos;01 Andalucía;De 20 a 24 años;2020_T2;48.47
Ambos sexos;01 Andalucía;De 20 a 24 años;2020_T1;41.46
Ambos sexos;01 Andalucía;De 20 a 24 años;2019_T4;38.01
Ambos sexos;01 Andalucía;De 20 a 24 años;2019_T3;40.92
Ambos sexos;01 Andalucía;De 20 a 24 años;2019_T2;37.79
Ambos sexos;01 Andalucía;De 20 a 24 años;2019_T1;36.87
Ambos sexos;01 Andalucía;De 20 a 24 años;2018_T4;42.65
Ambos sexos;01 Andalucía;De 20 a 24 años;2018_T3;43.77
Ambos sexos;01 Andalucía;De 20 a 24 años;2018_T2;43.8
Ambos sexos;01 Andalucía;De 20 a 24 años;2018_T1;44.17
Ambos sexos;01 Andalucía;De 20 a 24 años;2017_T4;43.73
Ambos sexos;01 Andalucía;De 20 a 24 años;2017_T3;42.44
Ambos sexos;01 Andalucía;De 20 a 24 años;2017_T2;46
Ambos sexos;01 Andalucía;De 20 a 24 años;2017_T1;50.81
Ambos sexos;01 Andalucía;De 20 a 24 años;2016_T4;53.51
Ambos sexos;01 Andalucía;De 20 a 24 años;2016_T3;52.07
Ambos sexos;01 Andalucía;De 20 a 24 años;2016_T2;56.69
Ambos sexos;01 Andalucía;De 20 a 24 años;2016_T1;57.28
Ambos sexos;01 Andalucía;De 20 a 24 años;2015_T4;52.47
Ambos sexos;01 Andalucía;De 20 a 24 años;2015_T3;54.52
Ambos sexos;01 Andalucía;De 20 a 24 años;2015_T2;53.69
Ambos sexos;01 Andalucía;De 20 a 24 años;2015_T1;53.77
Ambos sexos;01 Andalucía;De 25 a 54 años;2020_T3;22.49
Ambos sexos;01 Andalucía;De 25 a 54 años;2020_T2;20.28
Ambos sexos;01 Andalucía;De 25 a 54 años;2020_T1;20.05
Ambos sexos;01 Andalucía;De 25 a 54 años;2019_T4;19.8
Ambos sexos;01 Andalucía;De 25 a 54 años;2019_T3;20.58
Ambos sexos;01 Andalucía;De 25 a 54 años;2019_T2;19.85
Ambos sexos;01 Andalucía;De 25 a 54 años;2019_T1;20.04
Ambos sexos;01 Andalucía;De 25 a 54 años;2018_T4;19.56
Ambos sexos;01 Andalucía;De 25 a 54 años;2018_T3;21.19
Ambos sexos;01 Andalucía;De 25 a 54 años;2018_T2;21.3
Ambos sexos;01 Andalucía;De 25 a 54 años;2018_T1;23.21
Ambos sexos;01 Andalucía;De 25 a 54 años;2017_T4;22.96
Ambos sexos;01 Andalucía;De 25 a 54 años;2017_T3;24.09
Ambos sexos;01 Andalucía;De 25 a 54 años;2017_T2;23.4
Ambos sexos;01 Andalucía;De 25 a 54 años;2017_T1;25.26
Ambos sexos;01 Andalucía;De 25 a 54 años;2016_T4;26.7
Ambos sexos;01 Andalucía;De 25 a 54 años;2016_T3;26.97
Ambos sexos;01 Andalucía;De 25 a 54 años;2016_T2;27.36
Ambos sexos;01 Andalucía;De 25 a 54 años;2016_T1;28.19
Ambos sexos;01 Andalucía;De 25 a 54 años;2015_T4;28.34
Ambos sexos;01 Andalucía;De 25 a 54 años;2015_T3;29.95
Ambos sexos;01 Andalucía;De 25 a 54 años;2015_T2;29.16
Ambos sexos;01 Andalucía;De 25 a 54 años;2015_T1;32.24
Ambos sexos;01 Andalucía;De 55 y más años;2020_T3;18.38
Ambos sexos;01 Andalucía;De 55 y más años;2020_T2;16.06
Ambos sexos;01 Andalucía;De 55 y más años;2020_T1;17.01
Ambos sexos;01 Andalucía;De 55 y más años;2019_T4;17.02
Ambos sexos;01 Andalucía;De 55 y más años;2019_T3;17.39
Ambos sexos;01 Andalucía;De 55 y más años;2019_T2;18.02
Ambos sexos;01 Andalucía;De 55 y más años;2019_T1;17.55
Ambos sexos;01 Andalucía;De 55 y más años;2018_T4;18.77
Ambos sexos;01 Andalucía;De 55 y más años;2018_T3;19.96
Ambos sexos;01 Andalucía;De 55 y más años;2018_T2;21.19
Ambos sexos;01 Andalucía;De 55 y más años;2018_T1;22.35
Ambos sexos;01 Andalucía;De 55 y más años;2017_T4;21.14
Ambos sexos;01 Andalucía;De 55 y más años;2017_T3;21.47
Ambos sexos;01 Andalucía;De 55 y más años;2017_T2;23.61
Ambos sexos;01 Andalucía;De 55 y más años;2017_T1;23.25
Ambos sexos;01 Andalucía;De 55 y más años;2016_T4;23.09
Ambos sexos;01 Andalucía;De 55 y más años;2016_T3;23.39
Ambos sexos;01 Andalucía;De 55 y más años;2016_T2;23.42
Ambos sexos;01 Andalucía;De 55 y más años;2016_T1;22.2
Ambos sexos;01 Andalucía;De 55 y más años;2015_T4;24.76
Ambos sexos;01 Andalucía;De 55 y más años;2015_T3;26.82
Ambos sexos;01 Andalucía;De 55 y más años;2015_T2;26
Ambos sexos;01 Andalucía;De 55 y más años;2015_T1;27.65
Ambos sexos;02 Aragón;Total;2020_T3;11.9
Ambos sexos;02 Aragón;Total;2020_T2;11.78
Ambos sexos;02 Aragón;Total;2020_T1;10.64
Ambos sexos;02 Aragón;Total;2019_T4;9.93
Ambos sexos;02 Aragón;Total;2019_T3;9.69
Ambos sexos;02 Aragón;Total;2019_T2;9.98
Ambos sexos;02 Aragón;Total;2019_T1;10.5
Ambos sexos;02 Aragón;Total;2018_T4;11.11
Ambos sexos;02 Aragón;Total;2018_T3;9.87
Ambos sexos;02 Aragón;Total;2018_T2;9.97
Ambos sexos;02 Aragón;Total;2018_T1;11.58
Ambos sexos;02 Aragón;Total;2017_T4;11.37
Ambos sexos;02 Aragón;Total;2017_T3;10.5
Ambos sexos;02 Aragón;Total;2017_T2;11.39
Ambos sexos;02 Aragón;Total;2017_T1;13.32
Ambos sexos;02 Aragón;Total;2016_T4;13.53
Ambos sexos;02 Aragón;Total;2016_T3;14.88
Ambos sexos;02 Aragón;Total;2016_T2;15.27
Ambos sexos;02 Aragón;Total;2016_T1;15.28
Ambos sexos;02 Aragón;Total;2015_T4;14.6
Ambos sexos;02 Aragón;Total;2015_T3;14.97
Ambos sexos;02 Aragón;Total;2015_T2;17
Ambos sexos;02 Aragón;Total;2015_T1;18.59
Ambos sexos;02 Aragón;Menores de 25 años;2020_T3;31.54
Ambos sexos;02 Aragón;Menores de 25 años;2020_T2;27.06
Ambos sexos;02 Aragón;Menores de 25 años;2020_T1;19.71
Ambos sexos;02 Aragón;Menores de 25 años;2019_T4;22.57
Ambos sexos;02 Aragón;Menores de 25 años;2019_T3;27.43
Ambos sexos;02 Aragón;Menores de 25 años;2019_T2;29.7
Ambos sexos;02 Aragón;Menores de 25 años;2019_T1;30.23
Ambos sexos;02 Aragón;Menores de 25 años;2018_T4;28.59
Ambos sexos;02 Aragón;Menores de 25 años;2018_T3;24.99
Ambos sexos;02 Aragón;Menores de 25 años;2018_T2;24.34
Ambos sexos;02 Aragón;Menores de 25 años;2018_T1;32.39
Ambos sexos;02 Aragón;Menores de 25 años;2017_T4;25.94
Ambos sexos;02 Aragón;Menores de 25 años;2017_T3;27.17
Ambos sexos;02 Aragón;Menores de 25 años;2017_T2;33.5
Ambos sexos;02 Aragón;Menores de 25 años;2017_T1;35.46
Ambos sexos;02 Aragón;Menores de 25 años;2016_T4;38.97
Ambos sexos;02 Aragón;Menores de 25 años;2016_T3;39.23
Ambos sexos;02 Aragón;Menores de 25 años;2016_T2;37.46
Ambos sexos;02 Aragón;Menores de 25 años;2016_T1;30.95
Ambos sexos;02 Aragón;Menores de 25 años;2015_T4;33.67
Ambos sexos;02 Aragón;Menores de 25 años;2015_T3;39.51
Ambos sexos;02 Aragón;Menores de 25 años;2015_T2;44.84
Ambos sexos;02 Aragón;Menores de 25 años;2015_T1;46.93
Ambos sexos;02 Aragón;25 y más años;2020_T3;10.41
Ambos sexos;02 Aragón;25 y más años;2020_T2;10.74
Ambos sexos;02 Aragón;25 y más años;2020_T1;10.04
Ambos sexos;02 Aragón;25 y más años;2019_T4;9.05
Ambos sexos;02 Aragón;25 y más años;2019_T3;8.38
Ambos sexos;02 Aragón;25 y más años;2019_T2;8.66
Ambos sexos;02 Aragón;25 y más años;2019_T1;9.32
Ambos sexos;02 Aragón;25 y más años;2018_T4;10
Ambos sexos;02 Aragón;25 y más años;2018_T3;8.85
Ambos sexos;02 Aragón;25 y más años;2018_T2;9.01
Ambos sexos;02 Aragón;25 y más años;2018_T1;10.28
Ambos sexos;02 Aragón;25 y más años;2017_T4;10.45
Ambos sexos;02 Aragón;25 y más años;2017_T3;9.29
Ambos sexos;02 Aragón;25 y más años;2017_T2;9.92
Ambos sexos;02 Aragón;25 y más años;2017_T1;11.87
Ambos sexos;02 Aragón;25 y más años;2016_T4;11.8
Ambos sexos;02 Aragón;25 y más años;2016_T3;13.19
Ambos sexos;02 Aragón;25 y más años;2016_T2;13.83
Ambos sexos;02 Aragón;25 y más años;2016_T1;14.25
Ambos sexos;02 Aragón;25 y más años;2015_T4;13.37
Ambos sexos;02 Aragón;25 y más años;2015_T3;13.3
Ambos sexos;02 Aragón;25 y más años;2015_T2;15.13
Ambos sexos;02 Aragón;25 y más años;2015_T1;16.83
Ambos sexos;02 Aragón;De 16 a 19 años;2020_T3;44.05
Ambos sexos;02 Aragón;De 16 a 19 años;2020_T2;33.01
Ambos sexos;02 Aragón;De 16 a 19 años;2020_T1;24.99
Ambos sexos;02 Aragón;De 16 a 19 años;2019_T4;20.28
Ambos sexos;02 Aragón;De 16 a 19 años;2019_T3;31.63
Ambos sexos;02 Aragón;De 16 a 19 años;2019_T2;48.24
Ambos sexos;02 Aragón;De 16 a 19 años;2019_T1;45.86
Ambos sexos;02 Aragón;De 16 a 19 años;2018_T4;35.22
Ambos sexos;02 Aragón;De 16 a 19 años;2018_T3;37.32
Ambos sexos;02 Aragón;De 16 a 19 años;2018_T2;36.49
Ambos sexos;02 Aragón;De 16 a 19 años;2018_T1;47.68
Ambos sexos;02 Aragón;De 16 a 19 años;2017_T4;41.83
Ambos sexos;02 Aragón;De 16 a 19 años;2017_T3;45.3
Ambos sexos;02 Aragón;De 16 a 19 años;2017_T2;54.83
Ambos sexos;02 Aragón;De 16 a 19 años;2017_T1;53.39
Ambos sexos;02 Aragón;De 16 a 19 años;2016_T4;54.74
Ambos sexos;02 Aragón;De 16 a 19 años;2016_T3;59
Ambos sexos;02 Aragón;De 16 a 19 años;2016_T2;67.09
Ambos sexos;02 Aragón;De 16 a 19 años;2016_T1;47.64
Ambos sexos;02 Aragón;De 16 a 19 años;2015_T4;52.97
